,comment
13,Almost the same thing happened to me but cop took my keys and told me he would be back in an hour! I went into store had a cup of coffee cop came back asked me if i was alright and gave me my keys. That was 1981. Back in those days it wasnt all about filling town coffers!
14,"How difficult is it to know that ""YOU DON'T RESIST ARREST."""
15,I don't even know what to say. If this is standard operating procedure then we definitely need to make major changes asap. My condolences to the family.
16,May He rest in peace!
17,"You conveniently left out that in the struggle he also ripped away a taser from one of the officers, and was actively trying to use it."
18,Feel bad for the guy 
19,"I always ask myself the same question when it comes to police shootings. ""Don't they train to know where to aim?""

There's a massive difference in aiming at someone with a deadly weapon assaulting you and chasing someone. The guy used a taser, the officer probably panicked, it's understandable that maybe he lost composure in that moment. But this is a prime example of a) where police training fails & b) why police shouldn't be armed."
20,This is causing anxiety that it’s literally making me sick.
21,Teach everyone to respect human. To respect life. To live and enjoy life. Stop these kind of behavior.
22,"I have been in a similar situation after an office party. The police drove me home, and that is what should have happened here, or they should have let him call family. Nothing he did was a capital offence. Police  don’t get to be judge, jury, AND executioner.🇺🇸"
23,
24,
25,
26,
27,
28,"Bevor Sie zu YouTube weitergehen
Wir verwenden Cookies und Daten, um
Google-Dienste anzubieten und zu betreiben
Ausfälle zu prüfen und Maßnahmen gegen Spam, Betrug und Missbrauch zu ergreifen
Daten zu Zielgruppeninteraktionen und Websitestatistiken zu erheben. Mit den gewonnenen Informationen möchten wir verstehen, wie unsere Dienste verwendet werden, und die Qualität dieser Dienste verbessern.
Wenn Sie „Alle akzeptieren“ auswählen, verwenden wir Cookies und Daten auch, um
neue Dienste zu entwickeln und zu verbessern
Werbung auszuliefern und ihre Wirkung zu messen
personalisierte Inhalte anzuzeigen, abhängig von Ihren Einstellungen
personalisierte Werbung anzuzeigen, abhängig von Ihren Einstellungen
Wenn Sie „Alle ablehnen“ auswählen, verwenden wir Cookies nicht für diese zusätzlichen Zwecke.
Nicht personalisierte Inhalte und Werbung werden u. a. von Inhalten, die Sie sich gerade ansehen, und Ihrem Standort beeinflusst (die Bereitstellung von Werbung basiert auf dem allgemeinen Standort). Personalisierte Inhalte und Werbung können auch Videoempfehlungen, eine individuelle YouTube-Startseite und individuelle Werbung enthalten, die auf früheren Aktivitäten wie auf YouTube angesehenen Videos und Suchanfragen auf YouTube beruhen. Sofern relevant, verwenden wir Cookies und Daten außerdem, um Inhalte und Werbung altersgerecht zu gestalten.
Wählen Sie „Weitere Optionen“ aus, um sich zusätzliche Informationen anzusehen, einschließlich Details zum Verwalten Ihrer Datenschutzeinstellungen. Sie können auch jederzeit g.co/privacytools besuchen.
Alle ablehnen
Alle akzeptieren
Weitere Optionen
Datenschutzerklärung • Nutzungsbedingungen"
